factors,total_quantum_cycles,computation_time
853,133,8949
"(2, (61, 7))",23803,181827786
"(3, (3, (5, 19)))",226,77455
"(2, (2, (2, 107)))",178,14068
857,133,3778
"(2, (3, (13, 11)))",13510,83161672
859,133,6197
"(2, (2, (5, 43)))",218,59403
"(3, (41, 7))",22521,113212025
"(2, 431)",148,8219
863,133,2586
"(2, (2, (2, (2, (2, (3, (3, 3)))))))",34974,223880310
"(5, 173)",52688,279443237
"(2, 433)",148,7733
"((17, 17), 3)",44843,219896153
"(2, (2, (7, 31)))",190,19293
"(79, 11)",21214,123386346
"(2, (3, (5, 29)))",25308,126679885
"(67, 13)",31714,191189436
"(2, (2, (2, 109)))",178,8239
"((3, 3), 97)",10699,71165146
"(2, (23, 19))",82825,411002440
"(7, (5, (5, 5)))",52720,283258385
"(2, (2, (3, 73)))",196,15958
877,133,2524
"(2, 439)",148,4356
"(3, 293)",21166,124699500
"(2, (2, (2, (2, (5, 11)))))",13496,69193821
881,133,4419
"(2, ((3, 3), (7, 7)))",38591,164279545
883,133,3299
"(2, (2, (17, 13)))",13516,55259525
"(3, (5, 59))",22521,133904958
"(2, 443)",148,11336
887,133,3583
"(2, (2, (2, (37, 3))))",13511,59264581
"(7, 127)",42188,303355405
"(2, (89, 5))",12003,66897883
"(3, (11, (3, (3, 3))))",65413,426646840
"(2, (2, 223))",163,7870
"(19, 47)",42238,230237548
"(2, (3, 149))",35581,165450651
"(5, 179)",136688,837815187
"(2, (2, (2, (2, (2, (2, (2, 7)))))))",160,23174
"((13, 3), 23)",24019,133251179
"(2, 449)",148,12056
"(29, 31)",31710,226310773
"(2, (2, ((3, 3), (5, 5))))",200106,1429761054
"(17, 53)",63238,483602667
"(2, (41, 11))",12029,73367348
"(3, (7, 43))",23821,160575722
"(2, (2, (2, 113)))",178,16644
"(5, 181)",21188,165855821
"(2, (151, 3))",23781,170313884
907,133,5904
"(2, (2, 227))",163,13785
"(3, (101, 3))",11999,83329745
"(2, ((5, 13), 7))",65206,420114887
911,133,7848
"(2, (2, (2, (2, (19, 3)))))",26798,150184236
"(83, 11)",63214,469907643
"(2, 457)",148,14847
"(3, (5, 61))",221,101033
"(2, (2, 229))",163,13200
"(7, 131)",94688,627425633
"(2, (17, (3, (3, 3))))",100619,674975073
919,133,4249
"(2, (2, (2, (5, 23))))",13505,60475577
"(3, 307)",10666,67768641
"(2, 461)",148,4988
"(13, 71)",73714,518814052
"(2, (2, (3, (11, 7))))",53399,319592642
"(37, (5, 5))",126243,799630001
"(2, 463)",148,5994
"(3, (3, 103))",22499,130691728
"(2, (2, (2, (2, (2, 29)))))",180,17922
929,133,3406
"(2, (3, (5, 31)))",13508,66111161
"(7, (19, 7))",24015,155487184
"(2, (2, 233))",163,18855
"(3, 311)",52666,389873971
"(2, 467)",148,7291
"(17, (11, 5))",24041,147312439
"(2, (2, (2, ((3, 3), 13))))",8292,91070578
937,133,4350
"(2, (67, 7))",12003,56829058
"(3, 313)",21166,103121881
"(2, (2, (5, 47)))",13518,54211836
941,133,2897
"(2, (157, 3))",35581,229833766
"(41, 23)",63238,425236481
"(2, (2, (2, (2, 59))))",193,10204
"(3, (3, (5, (3, 7))))",31709,226316809
"(2, (11, 43))",23829,117579207
947,133,4919
"(2, (2, (79, 3)))",13496,57180495
"(73, 13)",10714,70460323
"(2, (19, (5, 5)))",86830,567641228
"(3, 317)",115666,775632860
"(2, (2, (2, (17, 7))))",13505,81442440
953,133,4495
"(2, (3, (3, 53)))",25314,157610004
"(5, 191)",10688,63820354
"(2, (2, 239))",163,7754
"((3, 11), 29)",24019,156416058
"(2, 479)",148,14680
"(137, 7)",10688,72879590
"(2, (2, (2, (2, (2, (2, (3, 5)))))))",178,41704
"(31, 31)",210,9277
"(2, (13, 37))",23829,123846521
"((3, 3), 107)",53599,391861276
"(2, (2, 241))",163,8015
"(193, 5)",10688,67649116
"(2, (23, (7, 3)))",34308,193473147
967,133,5065
"(2, (2, (2, (11, 11))))",13507,70325624
"(3, (17, 19))",33043,193367605
"(2, (97, 5))",12003,65525671
971,133,2917
"(2, (2, ((3, 3), (3, (3, 3)))))",67295,560607274
"(7, 139)",52688,326973146
"(2, 487)",148,6387
"(3, (13, (5, 5)))",224,26161
"(2, (2, (2, (2, 61))))",193,10144
977,133,2215
"(2, (3, 163))",181,10975
"(89, 11)",31714,177126458
"(2, (2, (5, (7, 7))))",66695,346328044
"((3, 3), 109)",43099,318786304
"(2, 491)",148,8314
983,133,2966
"(2, (2, (2, (3, 41))))",13511,94807341
"(5, 197)",10688,65853871
"(2, (17, 29))",12025,78051677
"((7, 47), 3)",10721,58842681
"(2, (2, (13, 19)))",26816,131774098
"(43, 23)",52738,330418975
"(2, (3, (5, (3, 11))))",13517,80963806
991,133,6447
"(2, (2, (2, (2, (2, 31)))))",180,21002
"(3, 331)",31666,227136843
"(2, (7, 71))",12003,60640196
"(5, 199)",10688,82769971
"(2, (2, (3, 83)))",13496,70201558
997,133,7334
"(2, 499)",148,11933
"(3, (37, (3, 3)))",59932,375935067
"(11, (13, 7))",24017,162896612
"(2, (3, 167))",11981,94193757
"(17, 59)",136738,1030126445
"(2, (2, 251))",163,16946
"(5, (3, 67))",10721,79483116
"(2, 503)",148,7475
"(53, 19)",10738,70139945
"(2, (2, (2, (2, (7, (3, 3))))))",16381,123226320
1009,133,3093
"(2, (5, 101))",12003,70356453
"(337, 3)",21166,122841675
"(2, (2, (11, 23)))",26816,120309471
1013,133,3483
"(2, ((13, 13), 3))",833610,5445957468
"((29, 7), 5)",24015,214368362
"(2, (2, (2, 127)))",178,25493
"(3, (113, 3))",22499,144748372
"(2, 509)",148,5721
1019,133,1766
"(2, (2, ((17, 3), 5)))",26823,191726542
1021,133,7550
"(2, (73, 7))",12003,79977599
"(11, (3, 31))",219,53832
"(2, (2, (2, (2, (2, (2, (2, (2, (2, 2)))))))))",150,15380
"((5, 5), 41)",30443,289315063
"(2, ((3, (3, 3)), 19))",134619,1199982357
"(79, 13)",18614,182966282
"(2, (2, 257))",163,6873
"((7, (7, 7)), 3)",193398,1241473296
"(2, (5, 103))",52703,337314408
1031,133,2958
"(2, (2, (2, (3, 43))))",13511,89015498
1033,133,9391
"(2, (47, 11))",31729,222864172
"(3, (5, (3, 23)))",226,28171
"(2, (2, (7, 37)))",12018,63172156
"(17, 61)",18638,139364685
"(2, (3, 173))",21181,148706551
1039,133,2742
"(2, (2, (2, (2, (13, 5)))))",26796,168865025
"(3, 347)",9366,97182856
"(2, 521)",148,11221
"(7, 149)",18588,165931935
"(2, (2, (29, (3, 3))))",28201,245657340
"(5, (11, 19))",22741,186041618
"(2, 523)",148,6351
"(3, 349)",9366,85066148
"(2, (2, (2, 131)))",178,16001
1049,133,3263
"(2, (5, ((5, 7), 3)))",26813,136250625
1051,133,13400
"(2, (2, 263))",163,27725
"(3, (13, (3, (3, 3))))",77913,699993107
"(2, (17, 31))",21225,198917119
"(5, 211)",9388,111210415
"(2, (2, (2, (2, (2, (3, 11))))))",189,31932
"(7, 151)",101388,827056295
"(2, (23, 23))",189225,1302995766
"(3, 353)",55366,473462083
"(2, (2, (5, 53)))",218,13804
1061,133,6361
"(2, (59, (3, 3)))",10714,68592906
1063,133,2784
"(2, (2, (2, (7, 19))))",13505,75868251
"(3, (5, 71))",221,130480
"(2, (13, 41))",229,31011
"(11, 97)",55414,482187407
"(2, (2, (89, 3)))",11996,76502796
1069,133,6292
"(2, (5, 107))",31703,249872863
"(17, (3, (7, 3)))",9426,66499727
"(2, (2, (2, (2, 67))))",193,13612
"(29, 37)",9438,64633342
"(2, (3, 179))",181,61397
"((5, 5), 43)",9443,92842694
"(2, (2, 269))",163,22965
"(3, 359)",27766,304632802
"(2, (11, (7, 7)))",63906,391901894
"(13, 83)",55414,582697599
"(2, (2, (2, (3, (3, (5, 3))))))",16399,166169477
"(23, 47)",37038,358646388
"(2, 541)",148,20424
"(3, (19, 19))",402843,2528232467
"(2, (2, 271))",163,10858
"(5, (7, 31))",215,21512
"(2, (3, 181))",181,12261
1087,133,2164
"(2, (2, (2, (2, (2, (2, 17))))))",195,14059
"(3, (11, (3, 11)))",27828,153510487
"(2, (5, 109))",10703,69552533
1091,133,2626
"(2, (2, (3, (7, 13))))",199,49020
1093,133,1829
"(2, 547)",148,3676
"(3, (5, 73))",221,13710
"(2, (2, (2, 137)))",178,5913
1097,133,1558
"(2, (61, (3, 3)))",18814,116591695
"(7, 157)",9388,81689052
"(2, (2, (5, (5, 11))))",221,44791
"(3, 367)",9366,75804547
"(2, (29, 19))",42225,275959079
1103,133,3596
"(2, (2, (2, (2, (3, 23)))))",198,48216
"(17, (5, 13))",36041,237105028
"(2, (7, 79))",21203,173274321
"(((3, 3), 3), 41)",73732,607302631
"(2, (2, 277))",163,7215
1109,133,1899
"(2, (5, (3, 37)))",13536,49053143
"(11, 101)",27814,173158699
"(2, (2, (2, 139)))",178,9306
"(7, (3, 53))",13521,53469275
"(2, 557)",148,8924
"(5, 223)",188,17161
"(2, (2, (31, (3, 3))))",12001,63428622
1117,133,3038
"(2, (13, 43))",10729,64838682
"(3, 373)",27766,224039206
"(2, (2, (2, (2, (2, (5, 7))))))",13485,53971358
"(19, 59)",64638,390163725
"(2, (17, (3, 11)))",10734,50018042
1123,133,3101
"(2, (2, 281))",163,5732
"((5, 5), (5, (3, 3)))",64531,440135379
"(2, 563)",148,5990
"(7, (7, 23))",100415,594470742
"(2, (2, (2, (3, 47))))",211,39361
1129,133,2642
"(2, (113, 5))",10703,48881479
"(3, (29, 13))",12019,53153134
"(2, (2, 283))",163,11448
"(11, 103)",9414,69517778
"(2, (3, ((3, (3, 3)), 7)))",71602,414224512
"(5, 227)",36988,233443934
"(2, (2, (2, (2, 71))))",193,17584
"(3, 379)",166,16196
"(2, 569)",148,5322
"(17, 67)",27838,161311000
"(2, (2, (3, (5, 19))))",13523,71733120
"(7, 163)",18588,116279263
"(2, 571)",148,6287
"(3, (3, 127))",23799,120998335
"(2, (2, (2, (13, 11))))",13507,66001295
"(5, 229)",9388,64398425
"(2, (3, 191))",181,37067
"(37, 31)",9438,72214878
"(2, (2, (41, 7)))",12018,73332507
"(3, 383)",46166,261328424
"(2, ((5, 5), 23))",52730,341497411
1151,133,5081
"(2, (2, (2, (2, (2, (2, (2, (3, 3))))))))",171,34426
1153,133,2889
"(2, 577)",148,5653
"(7, (3, (5, 11)))",22724,113559707
"(2, (2, (17, 17)))",165440,890091847
"(89, 13)",55414,416895089
"(2, (3, 193))",21181,167266607
"(61, 19)",9438,95895364
"(2, (2, (2, (29, 5))))",13505,92877119
"((3, 3), (3, 43))",113632,806739684
"(2, (83, 7))",63203,453125660
1163,133,2828
"(2, (2, (97, 3)))",35596,214013837
"(5, 233)",27788,246455730
"(2, (53, 11))",21229,136609354
"(3, 389)",27766,169840527
"(2, (2, (2, (2, 73))))",193,12066
"(7, 167)",188,11371
"(2, ((13, 3), (3, 5)))",13517,53196165
1171,133,4665
"(2, (2, 293))",163,9027
"(23, (17, 3))",22743,120081228
"(2, 587)",148,13825
"(5, (5, 47))",31943,186003407
"(2, (2, (2, (3, (7, 7)))))",199688,1040824202
"(11, 107)",27814,160272785
"(2, (31, 19))",21225,129886508
"((3, 3), 131)",25599,176214101
"(2, (2, (59, 5)))",47418,230083533
1181,133,3408
"(2, (3, 197))",181,35610
"(7, (13, 13))",820717,4119060679
"(2, (2, (2, (2, (2, 37)))))",208,11786
"((5, 3), 79)",221,16322
"(2, 593)",148,3601
1187,133,2524
"(2, (2, ((3, (3, 3)), 11)))",52510,335578059
"(29, 41)",55438,355104097
"(2, ((17, 5), 7))",24030,129997291
"(397, 3)",18566,116936776
"(2, (2, (2, 149)))",178,10433
1193,133,2311
"(2, (3, 199))",21181,123455304
"(5, 239)",9388,53108127
"(2, (2, (13, 23)))",47416,253446353
"(3, (3, (19, 7)))",36026,196997844
"(2, 599)",148,12360
"(109, 11)",18614,119490784
"(2, (2, (2, (2, ((3, 5), 5)))))",203,42351
1201,133,2554
"(2, 601)",148,3646
"(3, 401)",166,8794
"(2, (2, (7, 43)))",12018,59004889
"(241, 5)",9388,87862649
"(2, (67, (3, 3)))",35014,259540400
"(17, 71)",18638,114355799
"(2, (2, (2, 151)))",178,8919
"((3, 13), 31)",40119,213711557
"(2, (5, (11, 11)))",223532,1299720186
"(7, 173)",46188,332949290
"(2, (2, (101, 3)))",11996,52901077
1213,133,4302
"(2, 607)",148,6958
"(3, (3, ((3, 3), (3, 5))))",18620,113267260
"(2, (2, (2, (2, (2, (2, 19))))))",195,13566
1217,133,2665
"(2, (29, (3, 7)))",21208,129172869
"(53, 23)",9438,54067212
"(2, (2, (5, 61)))",23818,144085542
"(37, (3, 11))",247,110747
"(2, (13, 47))",229,15379
1223,133,2543
"(2, (2, (2, (17, (3, 3)))))",13516,66231385
"(5, (5, (7, 7)))",119920,589316562
"(2, 613)",148,8794
"(3, 409)",166,15204
"(2, (2, 307))",163,7170
1229,133,2184
"(2, (3, (41, 5)))",24036,117168607
1231,133,6465
"(2, (2, (2, (2, (11, 7)))))",196,71128
"(3, (137, 3))",35599,186501127
"(2, 617)",148,11646
"((5, 13), 19)",22741,117172555
"(2, (2, (3, 103)))",196,34677
1237,133,2084
"(2, 619)",148,3333
"((3, 7), 59)",221,14177
"(2, (2, (2, (5, 31))))",13505,59505568
"(17, 73)",18638,126535754
"(2, (3, (23, (3, 3))))",45419,256442546
"(11, 113)",214,24155
"(2, (2, 311))",163,11919
"(5, (3, 83))",13521,76812249
"(2, (89, 7))",21203,135028195
"(29, 43)",9438,63755501
"(2, (2, (2, (2, (2, (3, 13))))))",189,39408
1249,133,2195
"(2, ((5, 5), (5, 5)))",21235,106758164
"(3, (3, 139))",23799,124445833
"(2, (2, 313))",163,11139
"(7, 179)",18588,116497316
"(2, (3, (11, 19)))",47834,216868446
"(5, 251)",27788,173520180
"(2, (2, (2, 157)))",178,18912
"(3, 419)",9366,87043759
"(2, (17, 37))",10753,72369062
1259,133,2962
"(2, (2, (3, (5, (3, 7)))))",206,55537
"(13, 97)",214,8281
"(2, 631)",148,3555
"(421, 3)",36966,260103484
"(2, (2, (2, (2, 79))))",193,12747
"(5, (11, 23))",72841,406821754
"(2, (3, 211))",181,76032
"(181, 7)",18588,106329025
"(2, (2, 317))",163,7964
"(3, (3, (47, 3)))",59532,447056880
"(2, (5, 127))",10703,63301562
"(41, 31)",9438,65743391
"(2, (2, (2, (3, 53))))",13511,87556624
"(19, 67)",238,58793
"(2, (13, (7, 7)))",170306,806668394
"(3, (17, (5, 5)))",43548,256209341
"(2, (2, (29, 11)))",23816,120656115
1277,133,2962
"(2, (3, (3, 71)))",214,40348
1279,133,1888
"(2, (2, (2, (2, (2, (2, (2, (2, 5))))))))",175,13091
"((3, 61), 7)",9421,43200717
"(2, 641)",148,5267
1283,133,1845
"(2, (2, (3, 107)))",47396,297798646
"(257, 5)",9388,72293908
"(2, 643)",148,4789
"((13, (3, 3)), 11)",30828,188578498
"(2, (2, (2, (7, 23))))",13505,67812391
1289,133,6349
"(2, (5, (43, 3)))",24036,139760389
1291,133,5932
"(2, (2, (19, 17)))",12040,66699428
"(3, 431)",18566,126537225
"(2, 647)",148,6018
"(37, (5, 7))",18643,139922806
"(2, (2, (2, (2, (3, (3, (3, 3)))))))",51092,314405434
1297,133,5254
"(2, (11, 59))",10729,92719919
"(3, 433)",166,25666
"(2, (2, ((5, 5), 13)))",106521,699551273
1301,133,4634
"(2, (7, (31, 3)))",13508,84048618
1303,133,9591
"(2, (2, (2, 163)))",178,25499
"((5, (3, 3)), 29)",26826,169012535
"(2, 653)",148,11633
1307,133,3600
"(2, (2, (3, 109)))",11996,65719595
"(17, (7, 11))",36041,228740891
"(2, (131, 5))",21203,176101976
"(23, (3, 19))",13543,73084555
"(2, (2, (2, (2, (2, 41)))))",208,33504
"(13, 101)",73814,617481408
"(2, (3, (3, 73)))",10714,70761178
"(5, 263)",46188,344708674
"(2, (2, (7, 47)))",59218,336908213
"(3, 439)",9366,60472070
"(2, 659)",148,5434
1319,133,1860
"(2, (2, (2, ((3, 11), 5))))",13514,59373685
1321,133,6154
"(2, 661)",148,8604
"((7, 7), (3, (3, 3)))",169509,1153195146
"(2, (2, 331))",163,8048
"((5, 5), 53)",29143,173260619
"(2, (13, (3, 17)))",13534,100219789
1327,133,7387
"(2, (2, (2, (2, 83))))",193,23458
"(3, 443)",9366,66861893
"(2, (5, (19, 7)))",24030,113312225
"(11, (11, 11))",167943,1072435592
"(2, (2, (37, (3, 3))))",40029,280412156
"(43, 31)",64638,477077924
"(2, (23, 29))",157725,989628496
"(3, (5, 89))",12021,53672318
"(2, (2, (2, 167)))",178,13012
"(7, 191)",55388,349936884
"(2, (3, 223))",181,15948
"(13, 103)",27814,232635774
"(2, (2, (5, 67)))",71018,360708975
"((3, 3), 149)",199,51218
"(2, (61, 11))",10729,59952554
"(17, 79)",238,50457
"(2, (2, (2, (2, (2, (2, (3, 7)))))))",31678,256411386
"(5, 269)",188,14203
"(2, 673)",148,4724
"(3, 449)",27766,216743684
"(2, (2, 337))",163,9246
"(19, 71)",27838,173455439
"(2, ((3, 3), ((5, 5), 3)))",13524,76831332
"(193, 7)",9388,80278922
"(2, (2, (2, (13, 13))))",93307,496373316
"(41, (3, 11))",36047,229680272
"(2, 677)",148,5770
"(271, 5)",18588,120051722
"(2, (2, (3, 113)))",47396,276098932
"(23, 59)",238,10510
"(2, (97, 7))",10703,50525702
"(3, (3, 151))",18599,118544972
"(2, (2, (2, (2, (5, 17)))))",26820,160558315
1361,133,6194
"(2, (3, 227))",181,66393
"(29, 47)",64638,484054712
"(2, (2, (31, 11)))",23816,126687332
"(5, (13, (3, 7)))",12024,72910813
"(2, 683)",148,11134
1367,133,3009
"(2, (2, (2, (3, (3, 19)))))",40116,200599628
"(37, 37)",589066,4199082278
"(2, (5, 137))",203,13539
"(3, 457)",18566,110713223
"(2, (2, ((7, 7), 7)))",82795,377900859
1373,133,3280
"(2, (229, 3))",21181,124313268
"((5, (5, 5)), 11)",92846,564503412
"(2, (2, (2, (2, (2, 43)))))",208,25635
"(17, (3, (3, (3, 3))))",72637,499236941
"(2, (13, 53))",10729,50804287
"(7, 197)",188,15371
"(2, (2, (5, (3, 23))))",38623,205980027
1381,133,2934
"(2, 691)",148,4587
"(461, 3)",73766,444819130
"(2, (2, (2, 173)))",178,9520
"(5, 277)",188,43307
"(2, (((3, 3), 11), 7))",13517,59290953
"(73, 19)",9438,64434829
"(2, (2, 347))",163,8655
"(3, 463)",18566,111851065
"(2, (5, 139))",21203,109754882
"(13, 107)",359014,2621018870
"(2, (2, (2, (2, (3, 29)))))",198,45650
"(7, 199)",188,20232
"(2, (17, 41))",10753,69233874
"(3, (3, (5, 31)))",13526,70211406
"(2, (2, 349))",163,14564
"(11, 127)",27814,173006932
"(2, (3, 233))",42181,270352772
1399,133,6798
"(2, (2, (2, ((5, 5), 7))))",192010,1196453656
"(3, 467)",166,25520
"(2, 701)",148,8820
"(23, 61)",238,18471
"(2, (2, ((3, 3), (3, 13))))",56910,479675191
"(5, 281)",188,21509
"(2, (37, 19))",31753,205176671
"(7, (3, 67))",18621,145886795
"(2, (2, (2, (2, (2, (2, (2, 11)))))))",186,15395
1409,133,2147
"(2, ((5, 47), 3))",24036,159702455
"(83, 17)",37038,319943996
"(2, (2, 353))",163,7506
"(3, (157, 3))",35599,212655982
"(2, (101, 7))",10703,66894990
"(5, 283)",9388,73419638
"(2, (2, (2, (3, 59))))",211,33342
"(13, 109)",18614,112923908
"(2, 709)",148,5874
"((11, 43), 3)",44847,256710724
"(2, (2, (5, 71)))",47418,239801422
"((7, 7), 29)",49315,209996923
"(2, (3, (3, 79)))",10714,53322417
1423,133,2846
"(2, (2, (2, (2, 89))))",193,10029
"(3, ((5, 5), 19))",33048,146557381
"(2, (31, 23))",63225,430652306
1427,133,6681
"(2, (2, (3, (17, 7))))",13523,66544392
1429,133,5947
"(2, (5, (13, 11)))",24032,166765993
"(3, (3, (53, 3)))",60732,350007347
"(2, (2, (2, 179)))",178,20038
1433,133,5206
"(2, (3, 239))",181,64414
"(41, (5, 7))",31943,221109462
"(2, (2, 359))",163,7411
"(3, 479)",166,54772
"(2, 719)",148,6210
1439,133,2971
"(2, (2, (2, (2, (2, ((3, 3), 5))))))",196,42444
"(11, 131)",18614,118261865
"(2, (7, 103))",203,13678
"(37, (13, 3))",22747,119913260
"(2, (2, (19, 19)))",130040,726106611
"(5, (17, 17))",141865,764242012
"(2, (3, 241))",10681,72096636
1447,133,2681
"(2, (2, (2, 181)))",178,7931
"(3, (7, (3, 23)))",226,20236
"(2, ((5, 5), 29))",52730,370926986
1451,133,4138
"(2, (2, (3, (11, 11))))",211525,1167352746
1453,133,3026
"(2, 727)",148,4536
"(5, (3, 97))",221,15307
"(2, (2, (2, (2, (13, 7)))))",13496,85868820
"(47, 31)",64638,460027002
"(2, ((3, 3), ((3, 3), (3, 3))))",37413,242386576
1459,133,4357
"(2, (2, (73, 5)))",12018,74968912
"(3, 487)",166,39157
"(2, (17, 43))",42253,256198993
"(19, (7, 11))",13541,62964654
"(2, (2, (2, (3, 61))))",13511,57971069
"(5, 293)",9388,79109520
"(2, 733)",148,9364
"(3, (3, 163))",39599,243110349
"(2, (2, 367))",163,10779
"(113, 13)",37014,233474571
"(2, ((3, (7, 7)), 5))",63913,376334546
1471,133,4938
"(2, (2, (2, (2, (2, (2, 23))))))",195,19343
"(3, 491)",27766,176670657
"(2, (11, 67))",42229,250556192
"((5, 5), 59)",198443,1333564692
"(2, (2, (3, (3, 41))))",13529,88130224
"(7, 211)",36988,237040419
"(2, 739)",148,5316
"(29, (17, 3))",31943,160547715
"(2, (2, (2, (37, 5))))",13533,69765077
1481,133,3005
"(2, (13, (3, 19)))",24034,127090360
1483,133,5720
"(2, (2, (7, 53)))",23818,143559001
"((3, 3), (5, (3, 11)))",29735,193387619
"(2, 743)",148,17887
1487,133,5639
"(2, (2, (2, (2, (31, 3)))))",13498,89856177
1489,133,3631
"(2, (5, 149))",31703,183300138
"((3, 7), 71)",9421,80489952
"(2, (2, 373))",163,12530
1493,133,3514
"(2, (3, (3, 83)))",37314,186289823
"((5, 13), 23)",41141,246120737
"(2, (2, (2, (17, 11))))",13531,73909274
"(3, 499)",18566,126351591
"(2, (7, 107))",52703,309959113
1499,133,2790
"(2, (2, (3, (5, (5, 5)))))",73728,386384946
"(79, 19)",9438,53667663
"(2, 751)",148,6998
"(167, (3, 3))",9399,66935025
"(2, (2, (2, (2, (2, 47)))))",208,21179
"(7, (5, 43))",13543,69876887
"(2, (3, 251))",10681,86744487
"(137, 11)",37014,312274694
"(2, (2, (29, 13)))",12016,81279195
"(3, 503)",166,56955
"(2, (5, 151))",42203,369878679
1511,133,3085
"(2, (2, (2, ((3, (3, 3)), 7))))",37799,291840108
"(89, 17)",9438,87851101
"(2, 757)",148,8699
"((5, 3), 101)",8321,66237581
"(2, (2, 379))",163,12790
"(41, 37)",37066,325017120
"(2, (3, (23, 11)))",37334,258023104
"(31, (7, 7))",405315,3210370015
"(2, (2, (2, (2, (19, 5)))))",13520,77431376
"(3, (3, (13, 13)))",12028,89509946
"(2, 761)",148,10552
1523,133,3427
"(2, (2, (127, 3)))",47396,326833333
"((5, 5), 61)",40943,293238896
"(2, (7, 109))",10703,87837721
"(3, 509)",9366,82354228
"(2, (2, (2, 191)))",178,8227
"(11, 139)",18614,135358756
"(2, (3, (17, (5, 3))))",21641,124554223
1531,133,6256
"(2, (2, 383))",163,12605
"(3, (73, 7))",23821,187235057
"(2, (59, 13))",94729,682328365
"(5, 307)",36988,293863817
"(2, (2, (2, (2, (2, (2, (2, (2, (2, 3)))))))))",168,45501
"(29, 53)",18638,176747018
"(2, 769)",148,15371
"(3, ((3, (3, 3)), 19))",30437,256209473
"(2, (2, (11, (5, 7))))",38621,164362991
"(67, 23)",27838,140253455
"(2, (3, 257))",181,30172
1543,133,1578
"(2, (2, (2, 193)))",178,6425
"(3, (5, 103))",221,13083
"(2, 773)",148,3024
"(17, (13, 7))",36041,189893724
"(2, (2, (43, (3, 3))))",68729,479800655
1549,133,3199
"(2, ((5, 5), 31))",63230,337534038
"(3, (11, 47))",37047,271503154
"(2, (2, (2, (2, 97))))",193,12446
1553,133,2471
"(2, (3, (37, 7)))",12036,66300090
"(5, 311)",9388,46652835
"(2, (2, 389))",163,6773
"(3, (173, 3))",30399,170031696
"(2, (19, 41))",73753,435027048
1559,133,3027
"(2, (2, (2, (13, (3, 5)))))",26814,115063034
"(7, 223)",18588,106484955
"(2, (11, 71))",10729,56710719
"(3, 521)",166,30104
"(2, (2, (17, 23)))",240,13586
"(5, 313)",18588,114777865
"(2, (3, ((3, 3), 29)))",73719,422171062
1567,133,3755
"(2, (2, (2, (2, (2, (7, 7))))))",26785,156235255
"(3, 523)",9366,84606822
"(2, (157, 5))",10703,52141953
1571,133,3326
"(2, (2, (3, 131)))",59196,317106434
"(11, (13, 11))",243,41189
"(2, 787)",148,10707
"((3, 7), (3, (5, 5)))",37331,239287041
"(2, (2, (2, 197)))",178,13384
"(83, 19)",101438,709768925
"(2, (3, 263))",181,37860
1579,133,1606
"(2, (2, (5, 79)))",12018,53814237
"(3, (17, 31))",19943,126629468
"(2, (113, 7))",31703,244249267
1583,133,9346
"(2, (2, (2, (2, (11, (3, 3))))))",26807,212098892
"(5, 317)",9388,73861335
"(2, (13, 61))",10729,69628486
"(3, (23, 23))",212943,1755889663
"(2, (2, 397))",163,7497
"(7, 227)",92188,627450568
"(2, (5, (3, 53)))",24036,130130203
"(43, 37)",27866,216919614
"(2, (2, (2, 199)))",178,12085
"(59, (3, (3, 3)))",40932,309896842
"(2, 797)",148,9938
"(5, (29, 11))",33041,273899852
"(2, (2, (3, (19, 7))))",25323,203106915
1597,133,7714
"(2, (17, 47))",31753,233421961
"(41, (3, 13))",22747,152546111
"(2, (2, (2, (2, (2, (2, (5, 5)))))))",200,53379
1601,133,6762
"(2, (3, (89, 3)))",54014,453396217
"(7, 229)",27788,176405082
"(2, (2, 401))",163,7980
"(5, (3, 107))",80221,520527323
"(2, (73, 11))",10729,76734178
1607,133,5900
"(2, (2, (2, (67, 3))))",211,87929
1609,133,4054
"(2, ((7, 23), 5))",63930,426382545
"((3, 3), 179)",40699,336166058
"(2, (2, (13, 31)))",23816,167317404
1613,133,9297
"(2, (3, 269))",181,94463
"(17, (5, 19))",22765,148196270
"(2, (2, (2, (2, 101))))",193,10400
"(((7, 7), 3), 11)",89224,511626651
"(2, 809)",148,12886
1619,133,4065
"(2, (2, (5, (3, (3, (3, 3))))))",116117,716082828
1621,133,4633
"(2, 811)",148,6862
"(3, 541)",9366,77187480
"(2, (2, (2, (7, 29))))",13505,76332211
"(13, (5, (5, 5)))",149846,1070720233
"(2, (3, 271))",10681,73328649
1627,133,3993
"(2, (2, (37, 11)))",12044,70672673
"(181, (3, 3))",33699,311875011
"(2, (5, 163))",10703,67487027
"(233, 7)",27788,175873892
"(2, (2, (2, (2, (2, (3, 17))))))",213,56592
"(71, 23)",238,11793
"(2, (19, 43))",21253,151254442
"(5, (109, 3))",30421,220010140
"(2, (2, 409))",163,18736
1637,133,4449
"(2, ((3, 3), (13, 7)))",43017,337590928
"(11, 149)",9414,91378133
"(2, (2, (2, (5, 41))))",13533,83148106
"(3, 547)",166,28959
"(2, 821)",148,8411
"(53, 31)",238,20485
"(2, (2, (137, 3)))",23796,180253984
"(7, (5, 47))",22743,139914951
"(2, 823)",148,12846
"(3, (61, (3, 3)))",21232,183357371
"(2, (2, (2, (2, 103))))",193,25108
"(97, 17)",37038,367139563
"(2, (3, (11, (5, 5))))",22539,213578148
"(13, 127)",73814,584664195
